raceId,year,driverId,number_of_stops,pit_delta,race_time
1042,2020,830,1,0.4399,90.52226666666667
1042,2020,844,1,0.449,91.03566666666667
1042,2020,1,1,0.4527,89.94713333333333
1042,2020,822,1,0.4418666666666667,90.37366666666667
1043,2020,840,3,1.7230833333333333,89.02655
1043,2020,154,2,1.0270166666666667,89.08941666666666
1043,2020,841,1,0.49575,88.98046666666667
1043,2020,844,1,0.50405,88.85901666666666
1043,2020,846,2,0.9981,88.89268333333334
1043,2020,817,1,0.5034,88.77916666666667
1043,2020,848,2,0.9887,89.49523333333333
1043,2020,826,2,1.0014333333333334,88.79285
1043,2020,832,2,1.0094,88.87766666666667
1043,2020,822,2,0.9954833333333334,88.63688333333333
1043,2020,815,2,1.009,88.86803333333333
1043,2020,1,2,1.0217833333333333,88.5405
1043,2020,849,1,0.4982,88.99275
1043,2020,20,2,1.17385,89.01471666666667
1043,2020,8,1,0.49771666666666664,88.9109
1044,2020,844,2,0.7993666666666667,102.88618333333334
1044,2020,20,2,0.8237166666666667,102.85455
1044,2020,1,1,0.39766666666666667,102.32188333333333
1044,2020,840,2,0.7896666666666666,103.52776666666666
1044,2020,846,2,0.7728333333333334,103.34286666666667
1044,2020,815,1,0.41938333333333333,102.8491
1044,2020,817,2,0.7779666666666667,103.91288333333334
1044,2020,832,2,0.7907833333333333,102.8946
1044,2020,830,3,1.15935,103.06976666666667
1044,2020,848,2,0.7515333333333334,103.09661666666666
1046,2020,815,2,0.8120166666666667,91.2519
1046,2020,846,2,0.8188333333333333,91.57758333333334
1046,2020,8,3,1.2934166666666667,91.68778333333333
1046,2020,841,2,0.8226833333333333,91.65375
1046,2020,825,2,0.849,91.7914
1046,2020,826,2,0.80555,91.49413333333334
1046,2020,832,2,0.8169166666666666,91.46156666666667
1046,2020,842,2,0.8275666666666667,91.59401666666666
1046,2020,817,2,0.8194833333333333,91.47406666666667
1046,2020,20,3,1.3184166666666666,91.62875
1046,2020,851,3,1.50965,91.81313333333334
1046,2020,850,3,1.3309,91.8662
1046,2020,839,1,0.4069,91.4272
1046,2020,840,1,0.4114,91.44971666666666
1046,2020,847,4,1.7072,91.56116666666667
1046,2020,848,2,0.7919833333333334,91.4826
1046,2020,822,2,1.2904333333333333,91.50838333333333
1047,2020,830,1,0.35481666666666667,96.47741666666667
1047,2020,822,1,0.35978333333333334,96.74368333333334
1047,2020,1,1,0.37343333333333334,96.78433333333334
1047,2020,848,1,0.35846666666666666,96.81053333333334
1047,2020,846,1,0.364,97.48956666666666
1047,2020,832,1,0.369,97.57178333333333
1047,2020,840,1,0.3672666666666667,96.50523333333334
1047,2020,842,1,0.36666666666666664,97.97271666666667
1047,2020,839,1,0.36025,96.6666
1047,2020,817,1,0.3687166666666667,97.70655
1052,2021,815,3,1.2048166666666666,92.9324
1052,2021,846,2,0.8423166666666667,92.83938333333333
1052,2021,844,2,0.81835,93.04978333333334
1052,2021,840,2,0.84015,93.51016666666666
1052,2021,1,2,0.81525,92.06495
1052,2021,817,2,0.8223833333333334,93.16501666666667
1052,2021,8,2,0.80255,93.54601666666667
1052,2021,832,2,0.8115666666666667,93.18328333333334
1052,2021,852,2,0.8229,93.49315
1052,2021,822,3,1.3620833333333333,92.688
1052,2021,830,2,0.81025,92.07736666666666
1054,2021,822,4,1.616,95.08251666666666
1054,2021,1,3,1.1916166666666668,94.52368333333334
1054,2021,830,4,1.6314,95.00948333333334
1054,2021,832,3,1.1694166666666668,95.8396
1054,2021,815,3,1.1766166666666666,95.18593333333334
1054,2021,846,3,1.1818333333333333,95.37983333333334
1054,2021,839,3,1.1758,95.58616666666667
1054,2021,844,3,1.1832,95.45336666666667
1054,2021,842,3,1.1640666666666666,95.79806666666667
1054,2021,817,3,1.2159833333333334,95.77983333333333
1054,2021,4,3,1.1585833333333333,94.55381666666666
1055,2021,832,2,0.72725,94.3725
1055,2021,822,2,0.7324833333333334,93.5715
1055,2021,830,2,0.7526166666666667,93.39201666666666
1055,2021,817,2,0.7361333333333333,94.35746666666667
1055,2021,815,2,0.7287833333333333,94.18918333333333
1055,2021,1,2,0.7383,93.128
1055,2021,844,2,0.73175,94.03826666666667
1056,2021,1,2,0.80045,100.08418333333333
1056,2021,846,1,0.3979,99.27078333333333
1056,2021,842,1,0.40713333333333335,99.84526666666666
1056,2021,20,1,0.40615,99.82351666666666
1056,2021,832,1,0.4025,99.09646666666667
1056,2021,830,1,0.39576666666666666,98.947
1056,2021,815,1,0.40913333333333335,99.2885
1059,2021,817,1,0.4991833333333333,88.69378333333333
1059,2021,822,1,0.5095333333333333,87.67313333333334
1059,2021,832,1,0.5089,89.08511666666666
1059,2021,842,1,0.5130166666666667,88.7061
1059,2021,830,2,0.9987666666666667,87.4295
1059,2021,4,1,0.5214666666666666,88.72441666666667
1059,2021,1,1,0.5043833333333333,87.4779
1059,2021,815,1,0.4947,87.57635
1059,2021,846,1,0.50885,88.4967
1059,2021,840,1,0.5166,88.96193333333333
1059,2021,20,1,0.5178166666666667,88.75726666666667
1058,2021,815,2,0.7406333333333334,83.10598333333333
1058,2021,822,1,0.3625333333333333,83.0972
1058,2021,1,2,0.7143166666666667,82.91113333333334
1058,2021,830,1,0.3489333333333333,82.31541666666666
1060,2021,842,2,0.7235666666666667,84.93978333333334
1060,2021,817,1,0.35251666666666664,84.91563333333333
1060,2021,846,1,0.4412333333333333,84.2427
1060,2021,822,1,0.35118333333333335,84.2086
1060,2021,1,2,0.7071,84.68325
1060,2021,830,2,0.7054333333333334,83.90905
1060,2021,815,1,0.36225,84.8743
1060,2021,844,1,0.3523833333333333,84.92896666666667
1060,2021,832,1,0.35718333333333335,84.86145
1064,2021,1,3,0.964,90.43878333333333
1064,2021,830,2,0.6286666666666667,90.08991666666667
1064,2021,822,2,0.6767166666666666,91.03091666666667
1065,2021,841,2,1.1290166666666666,82.35968333333334
1065,2021,817,1,0.39686666666666665,81.90608333333333
1065,2021,20,2,0.8514,82.31643333333334
1065,2021,849,1,0.4028,82.3018
1065,2021,854,1,0.4119,82.75755
1065,2021,846,1,0.4028,81.9352
1065,2021,840,1,0.4141,82.16948333333333
1065,2021,4,1,0.41328333333333334,82.19276666666667
1065,2021,844,1,0.40928333333333333,82.0279
1065,2021,815,1,0.3984333333333333,82.05146666666667
1065,2021,832,1,0.40471666666666667,82.08166666666666
1065,2021,822,1,0.40513333333333335,81.9881
1065,2021,839,1,0.50555,82.25388333333333
1065,2021,847,1,0.4026,82.23511666666667
1065,2021,9,1,0.40835,82.40223333333333
1066,2021,840,2,1.22275,92.45331666666667
1066,2021,847,2,1.0457666666666667,92.3592
1066,2021,832,2,1.0232,91.7246
1066,2021,8,2,1.0038833333333332,92.16593333333333
1066,2021,817,2,1.0772166666666667,91.7768
1066,2021,1,2,0.9987166666666667,90.68335
1066,2021,830,2,1.0099166666666666,91.5712
1066,2021,846,2,1.0415666666666668,92.13708333333334
1066,2021,822,2,0.99175,91.8089
1066,2021,815,2,1.1389833333333332,92.18461666666667
1066,2021,4,2,1.0143166666666668,92.0387
1067,2021,846,1,0.38731666666666664,91.85526666666667
1067,2021,830,1,0.37403333333333333,91.31145
1067,2021,832,1,0.47255,91.92715
1067,2021,822,1,0.3827,91.06838333333333
1067,2021,815,1,0.37438333333333335,91.62623333333333
1067,2021,842,1,0.4885,91.80658333333334
1067,2021,840,1,0.5918166666666667,92.43535
1067,2021,844,1,0.3941,91.69861666666667
1067,2021,1,1,0.37806666666666666,91.76525
1069,2021,830,2,0.7963166666666667,94.6092
1069,2021,846,2,0.8322166666666667,96.01578333333333
1069,2021,817,2,0.8035333333333333,95.8901
1069,2021,832,2,0.838,96.00161666666666
1069,2021,815,2,0.8103666666666667,95.31291666666667
1069,2021,844,2,0.7969333333333334,95.47996666666667
1069,2021,1,2,0.8026166666666666,94.63141666666667
1069,2021,822,2,0.80105,95.94466666666666
1070,2021,1,1,0.37288333333333334,98.92735
1070,2021,844,1,0.3680833333333333,100.00205
1070,2021,842,1,0.3758166666666667,99.71551666666667
1070,2021,830,1,0.3651333333333333,98.65143333333333
1070,2021,815,1,0.36856666666666665,98.9473
1071,2021,830,4,1.3535166666666667,92.55578333333334
1071,2021,815,5,1.7530166666666667,93.04651666666666
1071,2021,1,4,1.3654,92.38085
1071,2021,822,4,1.36425,92.60711666666667
1071,2021,844,4,1.3574166666666667,93.20613333333333
1071,2021,832,4,1.38165,93.24451666666667
1051,2021,830,3,1.2656666666666667,84.90356666666666
1051,2021,1,2,0.8436,84.47451666666667
1051,2021,815,2,0.8473166666666667,85.51295
1051,2021,4,1,0.4331833333333333,85.46546666666667
1051,2021,840,1,0.43595,85.82908333333333
1051,2021,839,1,0.42528333333333335,85.81735
1051,2021,832,1,0.4273166666666667,85.8397
1051,2021,844,1,0.42998333333333333,85.85995
1073,2021,830,3,1.0746,90.28908333333334
1073,2021,1,1,0.35991666666666666,90.32668333333334
1073,2021,844,2,0.7272333333333333,91.39003333333334
1073,2021,839,1,0.36128333333333335,91.35618333333333
1073,2021,846,2,0.7258833333333333,91.27575
1073,2021,832,1,0.3702166666666667,90.3753
1073,2021,852,2,0.7394,90.38395
1073,2021,20,1,0.35368333333333335,91.41453333333334
1073,2021,822,1,0.36115,90.41346666666666
1073,2021,4,1,0.35506666666666664,91.31755
1073,2021,842,2,0.7342166666666666,90.39793333333333
1074,2022,1,3,1.2762666666666667,97.72098333333334
1074,2022,4,3,1.2463666666666666,97.9329
1074,2022,854,2,0.8466666666666667,98.10263333333333
1074,2022,848,3,1.2583166666666667,98.4586
1074,2022,832,3,1.2231833333333333,97.65303333333334
1074,2022,825,3,1.2900833333333332,97.80563333333333
1074,2022,839,3,1.3351666666666666,97.88345
1074,2022,822,3,1.2706166666666667,97.82838333333333
1074,2022,849,3,1.23155,98.58965
1074,2022,844,3,1.2358666666666667,97.55973333333333
1074,2022,847,3,1.2799333333333334,97.74658333333333
1074,2022,852,3,1.2438833333333332,97.8995
1074,2022,855,3,1.3227666666666666,97.94413333333334
1074,2022,817,3,1.2489833333333333,98.47598333333333
1074,2022,840,3,1.2955833333333333,98.32428333333333
1074,2022,807,3,1.3304166666666666,98.62355
1074,2022,846,3,1.2818333333333334,98.49865
1075,2022,815,1,0.34135,84.50155
1075,2022,842,1,0.38033333333333336,85.37065
1075,2022,844,1,0.35063333333333335,84.3307
1075,2022,830,1,0.3455166666666667,84.32155
1075,2022,832,1,0.35868333333333335,84.4565
1075,2022,847,1,0.35691666666666666,84.86708333333333
1075,2022,839,1,0.35235,85.25516666666667
1075,2022,846,1,0.33971666666666667,85.25695
1075,2022,855,2,0.81395,85.6918
1075,2022,825,1,0.3729,85.39335
1075,2022,807,1,0.3570833333333333,85.85058333333333
1075,2022,1,1,0.3631333333333333,85.55401666666667
1076,2022,840,3,0.9534,89.25243333333333
1076,2022,839,1,0.3188,88.80385
1076,2022,815,1,0.29056666666666664,88.11786666666667
1076,2022,846,1,0.2926,88.66418333333333
1076,2022,817,1,0.3025,88.67141666666667
1076,2022,842,1,0.31543333333333334,89.04615
1076,2022,855,1,0.30633333333333335,89.13738333333333
1076,2022,844,1,0.29955,87.7758
1076,2022,1,1,0.29795,88.25151666666666
1076,2022,822,1,0.30688333333333334,88.91645
1076,2022,847,1,0.30798333333333333,88.20235
1076,2022,848,1,0.33075,89.09883333333333
1077,2022,20,1,0.5080666666666667,93.31463333333333
1077,2022,815,2,0.9998833333333333,92.40855
1077,2022,847,1,0.5179833333333334,92.84153333333333
1077,2022,822,1,0.6826166666666666,92.85278333333333
1077,2022,825,1,0.56275,93.38743333333333
1077,2022,852,1,0.5062,93.1516
1077,2022,830,2,0.99905,92.1331
1077,2022,844,3,1.6399333333333332,93.06763333333333
1077,2022,846,1,0.5011666666666666,92.71366666666667
1078,2022,852,2,0.6414666666666666,95.0734
1078,2022,854,2,0.8799,95.62605
1078,2022,4,1,0.3606333333333333,95.0231
1078,2022,848,1,0.33431666666666665,94.94371666666666
1078,2022,1,1,0.31366666666666665,94.76043333333334
1078,2022,844,1,0.3282833333333333,94.4674
1078,2022,830,1,0.3133,94.4043
1078,2022,822,1,0.3269,94.82218333333333
1078,2022,832,1,0.3677166666666667,94.54145
1078,2022,815,2,0.6158666666666667,94.5816
1078,2022,817,2,0.6460666666666667,95.086
1078,2022,849,1,0.31975,95.23656666666666
1078,2022,847,1,0.31725,94.714
1078,2022,840,1,0.3179,95.0214
1078,2022,839,1,0.31698333333333334,94.8774
1079,2022,1,3,1.2566666666666666,98.25015
1079,2022,832,3,1.1085,98.09471666666667
1079,2022,846,3,1.1237,98.7285
1079,2022,847,3,1.1168,97.89003333333334
1079,2022,830,3,1.1013333333333333,97.34125
1079,2022,839,3,1.1187166666666666,98.59786666666666
1079,2022,822,2,0.7588,98.34085
1079,2022,815,3,1.0890833333333334,97.55911666666667
1081,2022,847,2,0.6844166666666667,94.8656
1081,2022,842,1,0.3783,95.38733333333333
1081,2022,1,2,0.7050166666666666,95.29366666666667
1081,2022,20,1,0.33748333333333336,95.50066666666666
1081,2022,815,2,0.7621333333333333,94.44606666666667
1081,2022,830,2,0.7031666666666667,94.09901666666667
1081,2022,4,1,0.34285,95.57561666666666
1081,2022,846,1,0.35738333333333333,95.64161666666666
1081,2022,817,1,0.36323333333333335,95.6358
1081,2022,839,1,0.3773,95.90208333333334
1082,2022,20,2,0.7847833333333334,97.10003333333333
1082,2022,842,2,0.7861666666666667,97.11566666666667
1082,2022,825,1,0.6377,97.49895
1082,2022,830,2,0.7986833333333333,96.36261666666667
1082,2022,1,2,0.7947666666666666,96.47938333333333
1082,2022,849,2,0.9009,97.36225
1082,2022,848,2,0.7889,97.11083333333333
1082,2022,847,2,0.8003333333333333,96.56783333333334
1082,2022,839,2,0.82715,96.76078333333334
1082,2022,855,2,0.80435,96.81181666666667
1082,2022,817,2,0.8795,97.08006666666667
1082,2022,846,2,1.1194333333333333,97.2317
1082,2022,832,2,0.8182666666666667,96.37916666666666
1082,2022,4,2,0.8153,96.8617
1082,2022,844,1,0.43665,96.61541666666666
1082,2022,840,1,0.42086666666666667,96.99965
